State,County,Offense Category,count,State_Upper,County_Upper,state_name,county_name,fips
Colorado,ADAMS,Arson,153,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Assault Offenses,17712,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Bribery,5,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Burglary/Breaking & Entering,1427,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Counterfeiting/Forgery,323,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Destruction/Damage/Vandalism of Property,5032,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Embezzlement,6,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Extortion/Blackmail,88,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Fraud Offenses,2579,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Homicide Offenses,120,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Human Trafficking,21,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Kidnapping/Abduction,1034,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Larceny/Theft Offenses,4454,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Motor Vehicle Theft,2825,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Robbery,1244,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Sex Offenses,2044,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,"Sex Offenses, Non-forcible",52,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ADAMS,Stolen Property Offenses,1612,COLORADO,ADAMS,COLORADO,ADAMS,08001
Colorado,ALAMOSA,Arson,5,COLORADO,ALAMOSA,COLORADO,ALAMOSA,08003
Colorado,ALAMOSA,Assault Offenses,1331,COLORADO,ALAMOSA,COLORADO,ALAMOSA,08003
Colorado,ALAMOSA,Burglary/Breaking & Entering,59,COLORADO,ALAMOSA,COLORADO,ALAMOSA,08003
Colorado,ALAMOSA,Counterfeiting/Forgery,2,COLORADO,ALAMOSA,COLORADO,ALAMOSA,08003
Colorado,ALAMOSA,Destruction/Damage/Vandalism of Property,92,COLORADO,ALAMOSA,COLORADO,ALAMOSA,08003
