Location Name,count
ATM Separate from Bank,2962
Abandoned/Condemned Structure,2051
Air/Bus/Train Terminal,22794
Amusement Park,3543
Arena/Stadium/Fairgrounds/Coliseum,5708
Auto Dealership New/Used,10709
Bank/Savings and Loan,37989
Bar/Nightclub,63705
Camp/Campground,4176
Church/Synagogue/Temple/Mosque,11173
Commercial/Office Building,112283
Community Center,5954
Construction Site,11728
Convenience Store,87927
Cyberspace,42540
Daycare Facility,4495
Department/Discount Store,80588
Dock/Wharf/Freight/Modal Terminal,1416
Drug Store/Doctor's Office/Hospital,80244
Farm Facility,1985
Field/Woods,21678
Gambling Facility/Casino/Race Track,6228
Government/Public Building,30132
Grocery/Supermarket,68053
Highway/Road/Alley/Street/Sidewalk,870022
Hotel/Motel/Etc.,131282
Industrial Site,4392
Jail/Prison/Penitentiary/Corrections Facility,45407
Lake/Waterway/Beach,2536
Liquor Store,5776
Military Installation,553
Other/Unknown,288317
Park/Playground,59225
Parking/Drop Lot/Garage,620395
Rental Storage Facility,31208
Residence/Home,3603127
Rest Area,1839
Restaurant,103087
School-College/University,22159
School-Elementary/Secondary,124610
School/College,9286
Service/Gas Station,67518
Shelter-Mission/Homeless,23796
Shopping Mall,28018
Specialty Store,79145
Tribal Lands,1544
